,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
PRF1,0.079738846,0.719382774,0.15717111,0.433127372,-0.072548192,0.55835486,0.727021666,0.657222126,-0.016152019,0.908869415
VAMP3,0.104231079,0.050284878,-0.178186332,0.085301012,0.011589784,0.943493003,0.381387821,0.657222126,0.414548617,0.000275584
FGF1,-0.035324159,0.760369888,2.065730219,1.12E-10,-0.037688203,0.716596273,0.544409192,0.657286953,-0.06601011,0.246454398
HBS1L,-0.100230414,0.447855767,-0.246587633,0.209895862,-0.030749542,0.932229423,-0.46338808,0.657286953,0.100584236,0.582061459
PPWD1,-0.037200107,0.460032259,-0.145315944,0.231005108,0.03561881,0.547820141,0.439683554,0.657286953,0.035855495,0.58844483
TRUB2,0.355268939,0.107813428,-0.025789732,0.932585903,-0.064202893,0.740984217,0.559257351,0.657286953,-0.526863303,0.001176306
TCEB1,-0.023677325,0.949451791,0.098092651,0.465248449,-0.332150465,0.007565544,0.524139062,0.657629776,0.242296237,0.009079502
UBE2J1,-0.11053909,0.589248937,0.164998025,0.212800962,0.137915885,0.455055484,-0.474631141,0.657672974,-0.241442864,0.084501753
UBR1,-0.015571511,0.906547231,-0.206117128,0.258578844,-0.131371249,0.208679039,-0.447372266,0.657672974,0.106694116,0.57859503
ZFP61,0.039866929,0.528017143,-0.162453575,0.165135813,0.058254734,0.505731913,-0.65837715,0.657672974,-0.000171513,0.99855578
SCN4A,-0.00689031,0.96147319,0.169380116,0.685689689,-0.097884121,0.450417333,1.184099134,0.657918146,0.004288562,0.969142148
ARHGAP22,-0.215225709,0.489392366,-0.70802575,8.69E-06,-0.263245148,0.227489776,-0.50986152,0.657993207,0.37628748,0.000366194
CRNKL1,0.092757837,0.202693867,0.042201504,0.801754597,-0.028056126,0.844670445,0.468759126,0.657993207,-0.183344555,0.133177842
HTATSF1,0.290854199,0.154638849,0.36248461,0.025071115,-0.101057779,0.616373688,0.485039175,0.657993207,0.006023476,0.972672201
NFYC,-0.022923928,0.855060587,-0.014688198,0.936169973,0.028763423,0.949500119,0.71810159,0.657993207,0.011019468,0.973089712
NRSN2,-0.005395671,0.918400735,-0.082717233,0.741682079,-0.007938942,0.941167559,-1.591982104,0.657993207,-0.052350254,0.41151449
SIRT2,0.00614626,0.977782942,0.247602679,0.11109469,0.043158071,0.812131392,0.688932463,0.657993207,-0.03642717,0.745770171
SRFBP1,-0.228954363,0.068135736,-0.15869941,0.136919607,0.132634349,0.428118077,-0.552336847,0.657993207,0.306869564,0.077560357
SLC10A1,0.003472668,0.959381594,-0.834111089,0.030565444,-0.001699282,0.995927712,-0.341984203,0.658476481,-0.052438339,0.567017432
TDG,0.025363827,0.78556836,0.169215839,0.091029303,-0.060539875,0.805227403,0.520084868,0.658490308,0.442130209,0.02033157
THUMPD3,0.002015818,0.994554033,-0.246018422,0.087949972,-0.009925232,0.962212427,-0.537178549,0.658547189,-0.493362938,0.021870988
ADAM4,-0.045844118,0.395674298,-0.046545137,0.756243621,-0.125820616,0.502239546,-0.881231446,0.658776994,0.127995447,0.423908016
ERMP1,-0.423033837,0.000307976,-0.02727094,0.894583759,-0.201876405,0.332692769,0.419982749,0.658776994,-0.054565641,0.849971404
GLE1,-0.185072275,0.244480747,-0.056674027,0.769946987,0.159642082,0.350106413,-0.506318709,0.658776994,-0.149738001,0.409031084
SOX7,0.002643097,0.964257963,2.380290697,1.80E-08,0.039631703,0.759364925,-0.366293753,0.658776994,-0.02351682,0.790131666
CENPQ,0.026055497,0.77990085,0.023962989,0.86752771,-0.035630746,0.741925208,0.782105211,0.658940583,0.003926353,0.97414353
ACOX2,0.033687251,0.85666546,-0.014334126,0.921850879,0.02630358,0.877270701,2.166584119,0.658990001,-0.160630627,0.43750421
FABP6,-0.038151328,0.840881509,0.147511065,0.106198044,-0.036225053,0.849233653,2.18447062,0.659189909,-0.24711559,0.133945114
YARS2,0.014188965,0.909542426,0.07173045,0.739091101,-0.024580449,0.932229423,0.63556797,0.659189909,0.647489924,0.00064205
OLFR482,-0.009511454,0.885197984,-0.083929025,0.820691384,0.012929093,0.885078413,1.29200151,0.659241026,0.001919791,0.980539545
TMEM186,-0.326637002,0.029807213,-0.1060651,0.42700584,-0.031107171,0.923622955,0.711285761,0.659662581,-0.184863045,0.461878753
VPS26B,-0.550958393,0.047772999,0.027246872,0.86752771,-0.202630153,0.225862149,0.400261735,0.659893998,-0.625041916,6.46E-05
HECTD3,0.184135385,0.304631735,0.05853479,0.68484291,-0.001086327,0.996789075,0.641499327,0.660215208,0.022956448,0.79160476
OLFR1424,-0.008154133,0.925508986,0.009212623,0.958378742,-0.109461276,0.15377285,1.307800975,0.6603839,0.005682709,0.980641379
EPS15L1,-0.153854763,0.576695177,-0.19174864,0.052295143,0.029758955,0.935893152,0.473727563,0.660426843,-0.186339924,0.176540607
CASP4,0.307906096,0.148457508,0.385438427,0.186644685,0.687300139,1.81E-06,0.531083552,0.660475017,2.608575649,2.57E-10
MAPRE2,-0.125549362,0.359266983,-0.246770043,0.069091077,-0.035504348,0.913903387,0.407723307,0.660715205,-0.181576329,0.364942997
RRP9,0.015562544,0.942304998,-0.064181545,0.746394474,0.18481705,0.298640924,-0.815893643,0.660768342,1.162411268,2.88E-05
UBAP2,0.061871109,0.706552172,0.342926626,0.001209717,-0.134847291,0.322780657,0.479096531,0.660868805,0.048543959,0.621412114
5730508B09RIK,0.022976747,0.800464418,-0.047251955,0.859708046,0.019128289,0.897063067,1.204303801,0.660875926,0.053626091,0.472092191
DNAJC12,0.021671713,0.642112762,0.515905696,4.72E-05,-0.052402197,0.759214016,-0.874040068,0.660875926,0.081173048,0.258554852
WDR61,0.064050565,0.848383346,-0.065663465,0.53264058,-0.180636964,0.07318349,0.552075154,0.661230941,0.014923246,0.94065911
AKAP2,0.127943833,0.481054311,0.095072676,0.580185908,-0.02661635,0.941353363,0.490791786,0.661496764,-0.211015336,0.552800011
CRYL1,-0.222395564,0.34315813,-0.275622614,0.063461202,-0.117542355,0.725227079,-0.551781988,0.661496764,-0.2676343,0.1043022
NR3C1,-0.202170924,0.392827957,-0.377485052,0.179532851,-0.321339209,0.019102672,-0.432006406,0.661771539,-0.126295396,0.648860313
ACBD5,0.189434823,0.153404606,0.359312662,0.199226951,-0.080455601,0.814252074,0.500721401,0.661966383,-0.381322086,0.024339746
ATF4,-0.152541796,0.211575136,-0.240314588,0.125208464,-0.009074123,0.960395021,-0.410274414,0.661966383,0.991293523,2.25E-08
CDK8,0.1277816,0.20819678,0.246904426,0.126874503,0.237441853,0.083988124,0.525813399,0.661966383,-0.002736482,0.991069916
PTPN7,0.005594933,0.903605334,0.103882304,0.821247673,-0.02807865,0.600320725,-0.343191622,0.661966383,-0.002242126,0.975066978
ACSL6,0.024261983,0.792268037,-0.169216705,0.111583152,-0.080067631,0.7027437,-1.172622911,0.66208266,-0.006255546,0.970761345
EPHA10,0.004138357,0.943427632,0.059516929,0.532472125,0.003808455,0.980425251,-1.087386123,0.662087375,-0.061645222,0.40440974
EAR10,0.12427699,0.2972438,-0.792072918,0.37796608,-0.017242487,0.924090528,-1.976484491,0.662264418,0.006055276,0.958380664
PARP11,-0.081282308,0.563796847,-0.043606843,0.680592487,0.042897175,0.780005907,0.489275611,0.662320596,0.014768613,0.918685281
AIFM3,-0.061746221,0.511087648,-0.349630699,0.010844923,-0.074827355,0.718088009,-1.147479456,0.662882485,0.004596764,0.968706981
CCL19,-0.042651924,0.305295734,0.067371032,0.792387091,-0.135383821,0.306915486,2.206561295,0.662882485,0.050059832,0.613989483
SMN1,0.16308842,0.408222274,0.057873788,0.714500814,0.084507766,0.757440012,-0.361516304,0.663045046,0.313347284,0.181035988
THUMPD1,0.047931771,0.607282235,-0.014342061,0.941902296,-0.077765167,0.569766212,0.604961932,0.663045046,0.512803678,1.36E-05
TM6SF2,-0.020170035,0.699169898,0.050158009,0.906646575,-0.04033265,0.72512629,1.688207877,0.663045046,0.066627844,0.510084698
MED17,-0.09099369,0.048283755,-0.20715854,0.253966538,-0.002130817,0.992353344,0.587776674,0.663222591,-0.022522328,0.84966389
SCNM1,0.112206333,0.380711185,-0.00685105,0.967910575,-0.026976945,0.938532707,-0.457549035,0.663368598,-0.198822698,0.41272404
SH3BP2,0.353448002,0.002793038,0.270313615,0.001536215,0.194717248,0.04584979,0.60935163,0.663838053,0.435962286,0.002047165
TRAF3,0.189943875,0.182444824,0.225898293,0.111264271,-0.026082537,0.920280697,0.503863738,0.66405281,0.36106987,0.031948265
OGN,-0.083487339,0.20819678,-0.050055031,0.689972953,0.105294452,0.529247559,2.045722775,0.664474553,0.071633814,0.17871625
AU019823,0.064040583,0.800226819,0.075769426,0.748596688,-0.026156515,0.894287513,0.438483941,0.665207028,0.273198823,0.205788812
SLC12A4,0.185913804,0.323059932,0.130004285,0.374282726,0.03174862,0.951226354,0.712590353,0.665207028,-0.028597081,0.925227576
VPRBP,-0.006076184,0.953698643,-0.225274605,0.022683729,-0.309104264,0.038024955,-0.462218096,0.665207028,0.29545336,0.165456631
XKR7,-0.022770858,0.956834991,-0.048544182,0.618344151,0.077212904,0.885789337,1.836048337,0.665207028,-0.408882867,0.208168444
EBNA1BP2,-0.083848043,0.642896574,0.109165482,0.28970041,-0.007369277,0.982159196,0.590932415,0.665223024,0.491296676,0.000526353
CDKN2D,0.460458462,0.087905265,0.340515521,0.027689536,0.121312074,0.61117249,0.682642101,0.665238853,2.190978401,2.73E-10
H2AFX,-0.014301313,0.915698564,0.196071338,0.515974104,0.2615327,0.083988124,0.716204188,0.665260636,0.318975396,0.045316444
XRCC6,-0.040688363,0.876229425,0.043496986,0.718230351,-0.021590224,0.957577657,0.67162804,0.665260636,0.400449466,0.010211441
KBTBD4,-0.164541659,0.11484727,-0.124919603,0.530909407,-0.017335573,0.954030132,0.721837671,0.665949252,0.036802592,0.786163259
TBC1D8,0.284286474,0.000321522,0.147285317,0.232191778,0.615986859,0.001037624,0.590213699,0.665949252,0.445497594,0.004762295
ZDHHC12,0.090729071,0.778324111,-0.065363818,0.716160402,0.206388456,0.574332135,-1.279246426,0.665964539,-0.061201909,0.907591479
BMP8A,-0.003386993,0.953290468,-0.210147441,0.179894102,-0.022413543,0.85170869,1.404417965,0.666028168,0.0517078,0.400285063
LIAS,0.079614544,0.728661303,-0.05869458,0.569617137,-0.11773921,0.499303207,-0.497700155,0.666028168,-0.203435838,0.077409216
COG2,-0.013055664,0.950915015,-0.153761831,0.084735819,0.08015837,0.760448999,-0.58040704,0.666212953,0.000660705,0.997157259
EPAS1,-0.010519384,0.909832354,0.022460271,0.94738322,0.000998444,0.997001916,0.371261297,0.666609222,0.049134968,0.751852016
BRPF1,-0.083101574,0.621918492,-0.203000063,0.027965065,0.084787968,0.651176993,-0.450298067,0.666685531,0.5050147,0.000405003
OAS2,0.219793354,0.018386699,0.203375656,0.458114597,1.166586498,7.93E-11,0.937630115,0.666685531,0.211531354,0.174279643
IL1A,0.106077947,0.483995578,0.93125762,0.001603453,0.421547666,0.014007573,0.554832598,0.66679381,2.587211087,5.82E-09
EMP3,-0.018801382,0.968858841,-0.3629567,0.128657068,0.065215961,0.742392328,0.53695891,0.667029171,0.193244506,0.156943404
NCSTN,0.084267303,0.68192764,0.038977886,0.758055345,0.225534411,0.094429821,0.528469112,0.667239253,-0.06807056,0.743237944
ASTE1,0.027057349,0.838602101,-0.028583812,0.800927829,0.066146917,0.357722162,-0.48327674,0.667250835,0.101726926,0.393828112
CROT,0.014408247,0.928476417,-0.20332953,0.044596377,-0.098791621,0.604649101,-0.497373268,0.667250835,-0.046334674,0.601114921
MDH2,0.229808797,0.242514389,0.0298361,0.876925335,0.018167035,0.937429145,0.519972396,0.667250835,0.139655873,0.18799889
SLC46A3,-0.043093246,0.731676772,-0.28883659,0.100776922,-0.23342205,0.309867283,-0.468611017,0.667250835,-1.869016605,1.13E-07
TNIP2,-0.087139991,0.794019943,0.08628726,0.63094625,-0.03325454,0.92808886,0.52134302,0.667250835,0.522011935,0.003877923
PLCB2,-0.078455506,0.638849507,-0.149433623,0.114481665,0.016929787,0.957577657,-0.478629976,0.66773547,-0.885990784,2.33E-05
GJA1,0.447054784,0.285353778,-0.102477709,0.377309233,-0.192632206,0.417562016,-0.873479905,0.66800734,0.497100962,0.027589166
SELL,0.427543572,0.290941864,-0.44184819,0.489348932,-0.000736779,0.998876322,1.297622942,0.66800734,0.085664684,0.451581307
TDPOZ2,0.004782824,0.973315747,0.047183716,0.696500581,-0.026206834,0.968876988,2.397930113,0.66800734,-0.051626945,0.734562178
CLK3,-0.137043942,0.303427477,-0.076549461,0.748339624,0.061330703,0.71220699,-0.476725348,0.668071027,0.031865924,0.805771161
ETV6,0.05929994,0.720646404,-0.032164461,0.837355195,0.174438635,0.406136833,0.402184044,0.668071027,0.411873407,0.017754608
GRCC10,-0.249238849,0.334779407,0.200898984,0.387322341,0.047249855,0.848674761,1.075959242,0.668071027,-0.394502442,0.008764247
ITGAM,0.068627015,0.302463276,-0.49101393,0.000226483,-0.171478759,0.681017946,0.310453561,0.668071027,0.154171623,0.708365876
SCYL2,0.04800607,0.651815939,-0.028995277,0.897811602,-0.078498023,0.794434305,0.519089578,0.668071027,0.090126835,0.564777766
PDCD6,-0.02481698,0.822042043,0.149307985,0.104827928,0.0163282,0.907340569,0.534802444,0.668080817,-0.053104155,0.588389964
TTLL5,0.159631194,0.613095568,0.206505681,0.030982811,-0.125543991,0.697226599,-0.405865037,0.668080817,0.100506007,0.450779081
METTL2,-0.067757735,0.474980692,-0.103853379,0.507018464,0.064279142,0.760831889,-0.339875024,0.668261855,0.04847508,0.846429502
RNASE11,0.009750564,0.862786525,-0.036645205,0.716486015,-0.130973734,0.418315884,-2.444413469,0.668261855,-0.034037822,0.755371116
KCNMA1,0.00859802,0.89692438,0.502677633,0.00145542,-0.026111847,0.83823683,0.436692888,0.668288358,0.127704469,0.146057831
MRPS35,-0.069070961,0.516901946,0.07920144,0.466568212,0.003965033,0.992904055,-0.676480312,0.668343533,-0.22558883,0.168180409
TMEM126A,-0.061262411,0.885717162,0.134055553,0.188098854,-0.176108534,0.406895895,-0.591204625,0.668343533,-0.291646368,0.026408252
NUDT9,0.044231073,0.812215885,0.009621746,0.963894681,0.264491374,0.003499407,0.55835892,0.668451515,-0.629665043,1.60E-05
CATSPER2,0.034407267,0.570792515,-0.055667711,0.491727395,-0.118559999,0.658909953,-0.697858468,0.668553543,-0.363148559,0.097699893
PIK3AP1,0.07413033,0.513276774,-0.197042955,0.178953425,0.165257063,0.478980492,-0.441563545,0.668553543,0.610089984,1.41E-05
IMP4,-0.192348587,0.146566103,-0.045286978,0.731921845,-0.106256001,0.369602944,0.468616964,0.669021478,0.500214877,2.30E-07
OLFR91,-0.013720703,0.822277984,0.052715932,0.841772248,0.01097983,0.950991939,1.630922956,0.669021478,-0.012479761,0.926148601
MMP8,0.088974214,0.587721449,-0.640563019,0.551514331,-0.007006514,0.93713793,1.101225558,0.669034508,0.092877821,0.1810585
ATP6V0A2,0.015457629,0.966104818,-0.696683755,0.000243183,0.009002996,0.978332967,-0.554734826,0.669041764,0.302164836,0.013542762
CCT5,-0.156673708,0.490112926,-0.010405715,0.953754514,0.083884314,0.654615582,0.519172307,0.669041764,0.496917325,0.000444583
MRPS14,0.019392231,0.724383751,0.036472904,0.843193724,0.010660581,0.900995536,0.574670599,0.669041764,0.012945617,0.899727211
ATG7,0.015893426,0.856247243,0.553925887,9.70E-05,-0.006759856,0.976872034,0.467992652,0.669088195,0.133539039,0.218818575
KLK1B22,-5.23E-06,0.99986985,-0.074611257,0.651030086,0.023201743,0.766032297,1.758854924,0.669088195,-0.033782711,0.638332769
OLFR458,0.003670234,0.952036142,0.099527051,0.829821994,-0.037364715,0.750008738,3.142479376,0.669152772,0.092220751,0.212027656
PLAGL1,0.0122736,0.765440332,0.06678778,0.730547115,-0.001430516,0.99339013,0.827406596,0.669419115,0.057087651,0.465913901
ARL6IP6,-0.009010692,0.947502542,-0.488530165,0.081320242,0.007384441,0.986697361,0.818458723,0.669454255,-0.049273019,0.739623624
FCGRT,-0.103277099,0.351257393,-0.422526303,0.000497145,0.024833624,0.917821769,-0.57775819,0.669454255,0.261943056,0.025833355
SLC47A1,-0.022682288,0.931164145,0.049291022,0.517003251,0.121463595,0.72400578,0.787251855,0.669454255,-0.192310218,0.493711463
YME1L1,-0.480657511,0.005818997,0.080614862,0.662974583,-0.05415285,0.853426634,0.433120103,0.66951588,0.493660668,0.003964637
CHRNB3,0.005176356,0.958572331,-0.020070092,0.878235046,-0.026147712,0.763638407,1.072219246,0.669587334,-0.01835621,0.85781203
SRI,0.113199229,0.383440216,0.101194043,0.450145332,0.178064927,0.473209945,0.388218036,0.669587334,0.203382031,0.053095547
DAAM2,0.070068881,0.871453251,-0.068346169,0.766958019,-0.285486701,0.059439413,-0.605223826,0.669737174,-0.137984198,0.084906089
SVOPL,0.111351844,0.234176924,0.162506102,0.13009525,-0.075287318,0.53226166,0.613755276,0.669737174,0.086027175,0.745018772
ORAI2,0.005358016,0.976518046,-0.203198091,0.040865472,-0.094293151,0.609641044,0.428197927,0.670468679,-0.120377744,0.289639948
PPME1,-0.353707863,0.198200599,0.357643479,0.001242106,-0.050523246,0.861410572,0.528866884,0.67051876,0.410966181,0.003885057
RASGRP3,-0.152527335,0.290482321,0.479151314,0.04194488,-0.381127011,2.93E-05,0.396158689,0.67051876,-1.070527489,1.77E-08
SNX16,0.127978721,0.460032259,0.026671507,0.896986441,0.026484229,0.91646222,0.777753051,0.67051876,0.002262688,0.996034151
TPK1,0.052447924,0.532466562,-0.14889175,0.489123591,-0.004133695,0.986697361,0.812434073,0.67051876,-0.020648553,0.883643716
SOX4,-0.040351034,0.788898612,-0.840632768,3.87E-06,-0.006276476,0.982791773,-0.504961787,0.670911316,0.020049589,0.940347655
ZFP472,-0.07496871,0.653705743,-0.288716604,0.118088105,0.17530148,0.367658803,0.68798617,0.670911316,0.052276507,0.874988747
CDK5,-0.160986992,0.189929506,-0.020528163,0.915272072,-0.113521361,0.539871613,-0.714419453,0.671008346,-0.123655381,0.249781184
PRKDC,-0.045401565,0.594876728,-0.010132498,0.977798009,0.089448124,0.287678628,-0.427379932,0.671031276,-0.072068747,0.606296922
OLFR761,0.006963652,0.916720421,0.022034232,0.841772248,-0.014797824,0.863364369,-1.174969974,0.671210325,-0.038314872,0.593097037
SLC7A6,-0.038927115,0.787274804,0.171553778,0.144743058,-0.168936987,0.311971396,0.523797701,0.671374473,0.462074773,0.000422689
IL12RB1,-0.01680314,0.867164163,0.020446399,0.958801381,-0.037920299,0.688450513,-1.265830913,0.671387428,0.026110462,0.780753938
TIAL1,0.578328982,0.009621342,-0.199740048,0.286855797,-0.127785647,0.484764401,0.415500737,0.671387428,-0.642152731,0.001904519
ABCE1,-0.115359536,0.184694139,-0.046775001,0.833635467,-0.075974788,0.526715393,0.521645659,0.6715424,0.750460837,1.54E-06
CYP2C38,-0.004551607,0.929420104,0.12646166,0.55888233,-0.004894525,0.951082488,-1.337572611,0.6715424,-0.019795628,0.763328414
CD38,0.051686716,0.241327389,-0.160840215,0.611467017,-0.018796976,0.813747849,-0.393570919,0.671831082,0.021542583,0.817790288
ZKSCAN6,-0.068605593,0.445387466,-0.070755657,0.627559571,-0.091764014,0.484453258,-0.581680392,0.671831082,0.238790715,0.108308962
ARRB2,-0.353920874,0.03219353,-0.171224495,0.079512621,-0.16262088,0.525371709,-0.465754196,0.671967379,-0.040338747,0.898883758
ATXN3,0.00395013,0.976518046,-0.128637855,0.36330148,-0.190589818,0.21196816,0.431478603,0.672058355,-0.248878702,0.166643576
GTF2H5,-0.103854434,0.52814624,0.090494942,0.887521444,-0.001310854,0.991561328,0.618131341,0.672058355,-0.002404627,0.977592102
PAM,0.452032746,0.227173721,0.060352096,0.607799034,-0.017954755,0.947439614,0.588826482,0.672058355,0.074372829,0.513120407
PDE5A,0.001602478,0.986871605,0.126612675,0.765705104,-0.018302337,0.874955643,-0.335261241,0.672058355,-0.024332169,0.827834775
OLFR702,-0.005305896,0.975407225,-0.037610559,0.766958019,-0.015134194,0.962141621,2.432286705,0.67226755,-0.080690331,0.735360215
ALDH8A1,0.012954716,0.849360849,0.01045102,0.983287608,-0.002008792,0.992904055,1.102103264,0.672848123,-0.045973549,0.580792929
